
|KWMD        |89.7  MHz |FM |209 |ND  |-                   |C3 |-  |CP     |STERLING                 |AK |US |BPED   -20111014ADA |0.     kW |8.     kW |0.0     |61.1    |93589      |N |60 |29 |19.33 |W |150 |44 |42.83 |ALASKA EDUCATIONAL RADIO SYSTEM, INC.                                       |   0.00 km |   0.00 mi |  0.00 deg |0.0    m|152.4  m|-         |-       |1275477 |21.7   m|1451054   |
|WJIA        |88.5  MHz |FM |203 |ND  |-                   |A  |-  |LIC    |GUNTERSVILLE             |AL |US |BLED   -19950905KB  |0.     kW |2.2    kW |0.0     |130.0   |36283      |N |34 |25 |33.00 |W |86  |18 |25.00 |LAKE CITY EDUCATIONAL BROADCASTING INC.                                     |   0.00 km |   0.00 mi |  0.00 deg |0.0    m|368.   m|-         |-       |-       |39.    m|213416    |
|WLJR        |88.5  MHz |FM |203 |ND  |-                   |A  |-  |LIC    |BIRMINGHAM               |AL |US |BLED   -20060119ADQ |0.     kW |0.37   kW |0.0     |183.0   |6804       |N |33 |23 |51.00 |W |86  |39 |41.00 |BRIARWOOD PRESBYTERIAN CHURCH                                               |   0.00 km |   0.00 mi |  0.00 deg |0.0    m|385.7  m|-         |-       |1036727 |26.    m|1094231   |
|WJBE-FM     |88.5  MHz |FM |203 |ND  |-                   |A  |-  |LIC    |FIVE POINTS              |AL |US |BLED   -20080507ACH |0.     kW |0.5    kW |0.0     |61.0    |172997     |N |33 |57 |51.00 |W |87  |12 |34.00 |BIG SOUTH COMMUNITY BROADCASTING, INC.                                      |   0.00 km |   0.00 mi |  0.00 deg |0.0    m|231.   m|-         |-       |1239253 |40.    m|1245317   |
|WKUA        |88.5  MHz |FM |203 |DA  |-                   |A  |-  |LIC    |MOUNDVILLE               |AL |US |BLED   -20120203AAM |0.001  kW |5.5    kW |83.0    |83.0    |171636     |N |33 |4  |0.00  |W |87  |42 |1.00  |TBTA MINISTRIES                                                             |   0.00 km |   0.00 mi |  0.00 deg |139.   m|139.0  m|106992    |0.      |-       |55.    m|1486624   |
|WRWA        |88.7  MHz |FM |204 |ND  |-                   |C2 |-  |LIC    |DOTHAN                   |AL |US |BLED   -19860113KB  |50.    kW |50.    kW |143.0   |143.0   |68185      |N |31 |12 |30.00 |W |85  |36 |51.00 |TROY UNIVERSITY                                                             |   0.00 km |   0.00 mi |  0.00 deg |223.   m|223.0  m|-         |-       |1062245 |143.   m|84913     |
|WELL-FM     |88.7  MHz |FM |204 |DA  |-                   |C1 |-  |LIC    |WAVERLY                  |AL |US |BLED   -20090224ABS |0.     kW |60.    kW |0.0     |129.0   |64562      |N |32 |44 |11.00 |W |85  |29 |54.00 |ALABAMA CHRISTIAN RADIO, INC.                                               |   0.00 km |   0.00 mi |  0.00 deg |0.0    m|349.   m|86126     |144.    |1257731 |115.   m|1297702   |
|WQPR        |88.7  MHz |FM |204 |ND  |-                   |C2 |-  |LIC    |MUSCLE SHOALS            |AL |US |BMLED  -20090330AEZ |20.    kW |20.    kW |130.8   |130.8   |65441      |N |34 |34 |41.00 |W |87  |47 |2.00  |UNIVERSITY OF ALABAMA                                                       |   0.00 km |   0.00 mi |  0.00 deg |354.   m|354.0  m|-         |-       |1036418 |77.9   m|1302679   |
|WMWI        |88.7  MHz |FM |204 |ND  |-                   |A  |-  |LIC    |DEMOPOLIS                |AL |US |BLED   -20120214AAW |0.1    kW |0.1    kW |48.0    |48.0    |122084     |N |32 |30 |43.00 |W |87  |51 |0.00  |MILES COLLEGE                                                               |   0.00 km |   0.00 mi |  0.00 deg |84.    m|84.0   m|-         |-       |-       |55.    m|1487786   |
|WQOH-FM     |88.7  MHz |FM |204 |DA  |-                   |A  |-  |LIC    |SPRINGVILLE              |AL |US |BLED   -20120418ABZ |0.001  kW |0.44   kW |260.9   |260.9   |174604     |N |33 |54 |28.60 |W |86  |17 |8.70  |DIVINE WORD COMMUNICATIONS                                                  |   0.00 km |   0.00 mi |  0.00 deg |517.5  m|517.5  m|110655    |0.      |1029280 |65.5   m|1517288   |
|WMWI        |88.7  MHz |FM |204 |DA  |-                   |C1 |-  |CP     |DEMOPOLIS                |AL |US |BPED   -20130830ANP |100.   kW |100.   kW |88.0    |88.0    |122084     |N |32 |22 |34.00 |W |87  |47 |2.00  |MILES COLLEGE                                                               |   0.00 km |   0.00 mi |  0.00 deg |138.   m|138.0  m|116224    |0.      |1272415 |85.    m|1571988   |
|WMFT        |88.9  MHz |FM |205 |DA  |-                   |C1 |-  |LIC    |TUSCALOOSA               |AL |US |BLED   -20050513AAR |0.     kW |100.   kW |0.0     |159.0   |83088      |N |33 |20 |19.00 |W |87  |21 |32.00 |THE MOODY BIBLE INSTITUTE OF CHICAGO                                        |   0.00 km |   0.00 mi |  0.00 deg |0.0    m|294.   m|43561     |0.      |1019785 |114.   m|1087797   |
|WILF        |88.9  MHz |FM |205 |ND  |-                   |C1 |-  |LIC    |MONROEVILLE              |AL |US |BLED   -20121018ABW |87.    kW |87.    kW |118.0   |118.0   |89620      |N |31 |18 |13.00 |W |87  |2  |50.00 |THE POWER FOUNDATION                                                        |   0.00 km |   0.00 mi |  0.00 deg |192.   m|192.0  m|-         |-       |1035181 |107.   m|1521092   |
|WLBF        |89.1  MHz |FM |206 |DA  |-                   |C1 |-  |LIC    |MONTGOMERY               |AL |US |BLED   -19900209KC  |100.   kW |100.   kW |164.0   |164.0   |43643      |N |32 |24 |13.00 |W |86  |11 |50.00 |FAITH BROADCASTING, INC                                                     |   0.00 km |   0.00 mi |  0.00 deg |227.   m|227.0  m|14070     |0.      |-       |172.   m|145010    |
|WKNG-FM     |89.1  MHz |FM |206 |ND  |-                   |A  |-  |LIC    |HEFLIN                   |AL |US |BLED   -20050512ADF |0.25   kW |0.25   kW |219.0   |219.0   |92876      |N |33 |33 |18.00 |W |85  |27 |25.00 |COVENANT COMMUNICATIONS, INC.                                               |   0.00 km |   0.00 mi |  0.00 deg |533.   m|533.0  m|-         |-       |-       |27.    m|1061697   |
|WALN        |89.3  MHz |FM |207 |ND  |-                   |C2 |-  |LIC    |CARROLLTON               |AL |US |BLED   -19951026KE  |0.     kW |9.5    kW |0.0     |213.0   |1539       |N |33 |13 |6.00  |W |88  |5  |46.00 |AMERICAN FAMILY ASSOCIATION                                                 |   0.00 km |   0.00 mi |  0.00 deg |0.0    m|291.   m|-         |-       |-       |234.   m|215724    |
|WLRH        |89.3  MHz |FM |207 |ND  |-                   |C1 |-  |LIC    |HUNTSVILLE               |AL |US |BLED   -1595        |100.   kW |100.   kW |247.0   |247.0   |719        |N |34 |37 |41.00 |W |86  |30 |59.00 |ALABAMA EDUCATIONAL TELEVISION COMMISSION                                   |   0.00 km |   0.00 mi |  0.00 deg |479.   m|479.0  m|-         |-       |-       |34.    m|299395    |
|WLRH        |89.3  MHz |FM |207 |DA  |-                   |C0 |-  |CP     |HUNTSVILLE               |AL |US |BPED   -20090921ACS |100.   kW |100.   kW |319.2   |319.2   |719        |N |34 |44 |13.00 |W |86  |31 |45.00 |ALABAMA EDUCATIONAL TELEVISION COMMISSION                                   |   0.00 km |   0.00 mi |  0.00 deg |557.1  m|557.1  m|95967     |0.      |1036423 |70.1   m|1333703   |
|WJIK        |89.3  MHz |FM |207 |ND  |-                   |A  |-  |LIC    |FULTON                   |AL |US |BLED   -20110411AAN |2.1    kW |2.1    kW |166.0   |166.0   |90846      |N |31 |53 |28.00 |W |87  |42 |45.00 |PENFOLD COMMUNICATIONS, INC.                                                |   0.00 km |   0.00 mi |  0.00 deg |253.   m|253.0  m|-         |-       |1039214 |114.   m|1423558   |
|WPJN        |89.3  MHz |FM |207 |ND  |-                   |A  |-  |LIC    |JEMISON                  |AL |US |BLED   -20120713ACX |0.     kW |0.1    kW |0.0     |101.4   |165498     |N |32 |58 |12.00 |W |86  |43 |4.00  |C W JOHNSON EDUCATION FOUNDATION INC.                                       |   0.00 km |   0.00 mi |  0.00 deg |0.0    m|278.2  m|-         |-       |1241037 |45.    m|1507565   |
|WDWZ        |89.3  MHz |FM |207 |DA  |-                   |A  |-  |LIC    |ANDALUSIA                |AL |US |BLED   -20121217ADK |1.4    kW |1.4    kW |103.0   |103.0   |173740     |N |31 |18 |10.00 |W |86  |29 |10.00 |B. JORDAN COMMUNICATIONS CORPORATION                                        |   0.00 km |   0.00 mi |  0.00 deg |179.5  m|179.5  m|110888    |0.      |1036987 |75.9   m|1535004   |
|WGTF        |89.5  MHz |FM |208 |DA  |-                   |C3 |-  |LIC    |DOTHAN                   |AL |US |BLED   -19990119KE  |19.    kW |19.    kW |64.0    |64.0    |17356      |N |31 |14 |2.00  |W |85  |26 |2.00  |DOTHAN COMMUNITY EDUCATIONAL RADIO, INC.                                    |   0.00 km |   0.00 mi |  0.00 deg |149.   m|149.0  m|15221     |0.      |-       |56.    m|280020    |
|NONE        |89.5  MHz |FM |208 |DA  |-                   |C3 |-  |CP     |PIEDMONT                 |AL |US |BNPED  -20071022BHR |7.1    kW |7.1    kW |91.0    |91.0    |177189     |N |33 |57 |53.00 |W |85  |26 |46.00 |GRACE COMMUNITY CHURCH OF AMARILLO                                          |   0.00 km |   0.00 mi |  0.00 deg |379.   m|379.0  m|89851     |0.      |1050195 |80.3   m|1271242   |
|WRNF        |89.5  MHz |FM |208 |ND  |-                   |A  |-  |LIC    |SELMA                    |AL |US |BMLED  -20130116ACP |6.     kW |6.     kW |100.0   |100.0   |87367      |N |32 |32 |50.00 |W |86  |55 |33.00 |THE MOODY BIBLE INSTITUTE OF CHICAGO                                        |   0.00 km |   0.00 mi |  0.00 deg |190.4  m|190.4  m|-         |-       |1025963 |38.    m|1537882   |
|WBFR        |89.5  MHz |FM |208 |ND  |-                   |A  |-  |LIC    |BIRMINGHAM               |AL |US |BMLED  -20131118ALU |0.     kW |0.1    kW |0.0     |205.0   |20989      |N |33 |29 |2.00  |W |86  |48 |35.00 |FAMILY STATIONS, INC.                                                       |   0.00 km |   0.00 mi |  0.00 deg |0.0    m|398.   m|-         |-       |1052060 |87.    m|1596689   |
|WJHO        |89.7  MHz |FM |209 |DA  |-                   |C3 |-  |LIC    |ALEXANDER CITY           |AL |US |BLED   -20120606ABP |0.     kW |10.5   kW |0.0     |150.0   |121797     |N |33 |12 |30.00 |W |85  |59 |31.00 |ALABAMA CHRISTIAN RADIO INC                                                 |   0.00 km |   0.00 mi |  0.00 deg |0.0    m|441.   m|108647    |0.      |1278941 |104.   m|1503797   |
|KRLE        |89.7  MHz |FM |209 |DA  |-                   |C1 |-  |LIC    |CARBON HILL              |AL |US |BLED   -20121130BEH |0.001  kW |79.    kW |154.0   |154.0   |91901      |N |34 |2  |1.00  |W |87  |36 |48.00 |EDUCATIONAL MEDIA FOUNDATION                                                |   0.00 km |   0.00 mi |  0.00 deg |349.   m|349.0  m|110691    |0.      |1284058 |107.   m|1531557   |
|WJHO        |89.7  MHz |FM |209 |DA  |-                   |C2 |-  |CP     |ALEXANDER CITY           |AL |US |BPED   -20130515ACL |0.     kW |21.    kW |0.0     |147.0   |121797     |N |33 |12 |30.00 |W |85  |59 |31.00 |ALABAMA CHRISTIAN RADIO INC                                                 |   0.00 km |   0.00 mi |  0.00 deg |0.0    m|438.   m|113699    |0.      |1278941 |102.   m|1555178   |
|WTBB        |89.9  MHz |FM |210 |ND  |-                   |C3 |-  |LIC    |GADSDEN                  |AL |US |BLED   -20000203AAC |0.     kW |4.8    kW |0.0     |157.0   |82705      |N |34 |6  |3.00  |W |85  |59 |37.00 |TRINITY CHRISTIAN ACADEMY                                                   |   0.00 km |   0.00 mi |  0.00 deg |0.0    m|390.   m|-         |-       |-       |55.    m|432237    |
|WAKD        |89.9  MHz |FM |210 |DA  |-                   |C3 |-  |LIC    |SHEFFIELD                |AL |US |BLED   -20060130APV |0.     kW |7.4    kW |0.0     |72.0    |1627       |N |34 |50 |11.00 |W |87  |37 |20.00 |AMERICAN FAMILY ASSOCIATION                                                 |   0.00 km |   0.00 mi |  0.00 deg |0.0    m|242.   m|70425     |0.      |1062959 |44.    m|1112880   |
|WTSU        |89.9  MHz |FM |210 |DA  |-                   |C1 |-  |LIC    |MONTGOMERY-TROY          |AL |US |BLED   -20060508ABN |100.   kW |100.   kW |230.0   |230.0   |68187      |N |32 |3  |40.00 |W |86  |1  |19.00 |TROY UNIVERSITY                                                             |   0.00 km |   0.00 mi |  0.00 deg |356.   m|356.0  m|70245     |0.      |1221821 |195.   m|1133571   |
|WNGL-FM     |89.9  MHz |FM |210 |DA  |-                   |C3 |-  |CP     |MOUNT VERNON             |AL |US |BNPED  -20071022BPM |8.     kW |8.     kW |130.0   |130.0   |175762     |N |31 |14 |50.40 |W |88  |4  |17.60 |ARCHANGEL COMMUNICATIONS                                                    |   0.00 km |   0.00 mi |  0.00 deg |157.   m|157.0  m|104780    |2.      |1039234 |121.   m|1420182   |
|WAKD        |89.9  MHz |FM |210 |DA  |-                   |A  |-  |APP    |SHEFFIELD                |AL |US |BPED   -20130708AAU |1.     kW |1.     kW |148.0   |148.0   |1627       |N |34 |38 |36.00 |W |87  |42 |45.00 |AMERICAN FAMILY ASSOCIATION                                                 |   0.00 km |   0.00 mi |  0.00 deg |336.   m|336.0  m|114376    |0.      |-       |94.    m|1541457   |
|WJOU        |90.1  MHz |FM |211 |ND  |-                   |C3 |-  |LIC    |HUNTSVILLE               |AL |US |BLED   -19780906AO  |25.    kW |25.    kW |70.0    |70.0    |49943      |N |34 |45 |28.00 |W |86  |39 |44.00 |OAKWOOD UNIVERSITY                                                          |   0.00 km |   0.00 mi |  0.00 deg |294.   m|294.0  m|-         |-       |-       |53.    m|4326      |
|WDLG        |90.1  MHz |FM |211 |ND  |-                   |A  |-  |LIC    |THOMASVILLE              |AL |US |BLED   -20070404ACS |0.5    kW |0.5    kW |76.0    |76.0    |86328      |N |31 |44 |24.00 |W |87  |45 |43.00 |DIVINE WORD COMMUNICATIONS                                                  |   0.00 km |   0.00 mi |  0.00 deg |167.   m|167.0  m|-         |-       |1065609 |30.    m|1180046   |
|WDLG        |90.1  MHz |FM |211 |DA  |-                   |A  |-  |CP     |GROVE HILL               |AL |US |BPED   -20120313AEE |0.65   kW |0.65   kW |142.0   |142.0   |86328      |N |31 |43 |42.50 |W |87  |45 |3.80  |DIVINE WORD COMMUNICATIONS                                                  |   0.00 km |   0.00 mi |  0.00 deg |245.   m|245.0  m|111236    |0.      |1252223 |99.    m|1533479   |
|WBHM        |90.3  MHz |FM |212 |ND  |-                   |C1 |-  |LIC    |BIRMINGHAM               |AL |US |BLED   -19880929KC  |32.    kW |32.    kW |370.0   |370.0   |4240       |N |33 |29 |19.00 |W |86  |47 |58.00 |BD OF TRUSTEES/U OF AL AT BIRMINGHAM                                        |   0.00 km |   0.00 mi |  0.00 deg |566.   m|566.0  m|-         |-       |-       |259.   m|118674    |
|WDYF        |90.3  MHz |FM |212 |ND  |-                   |C2 |-  |LIC    |DOTHAN                   |AL |US |BLED   -20070514AEM |9.2    kW |9.2    kW |171.0   |171.0   |43640      |N |31 |19 |29.00 |W |85  |36 |6.00  |FAITH BROADCASTING, INC.                                                    |   0.00 km |   0.00 mi |  0.00 deg |250.   m|250.0  m|-         |-       |1220162 |146.   m|1187411   |
|WQLS        |90.5  MHz |FM |213 |ND  |-                   |A  |-  |LIC    |CAMDEN                   |AL |US |BLED   -20111207ABR |0.4    kW |0.4    kW |128.0   |128.0   |171526     |N |31 |57 |34.00 |W |87  |16 |4.00  |TOWNSEND BROADCASTING ENTERPRISE                                            |   0.00 km |   0.00 mi |  0.00 deg |188.   m|188.0  m|-         |-       |-       |55.    m|1478950   |
|WVPL        |90.5  MHz |FM |213 |ND  |-                   |A  |-  |LIC    |DOZIER                   |AL |US |BLED   -20111215ACD |0.3    kW |0.3    kW |74.0    |74.0    |171667     |N |31 |25 |38.00 |W |86  |21 |21.00 |TOWNSEND BROADCASTING ENTERPRISE                                            |   0.00 km |   0.00 mi |  0.00 deg |170.   m|170.0  m|-         |-       |-       |40.    m|1480343   |
|WQLS        |90.5  MHz |FM |213 |DA  |-                   |C3 |-  |CP     |CAMDEN                   |AL |US |BPED   -20120329AKB |8.5    kW |8.5    kW |171.0   |171.0   |171526     |N |31 |53 |32.00 |W |87  |14 |14.00 |TOWNSEND BROADCASTING ENTERPRISE                                            |   0.00 km |   0.00 mi |  0.00 deg |243.   m|243.0  m|108868    |0.      |1228739 |76.    m|1494209   |
|WZEV        |90.5  MHz |FM |213 |ND  |-                   |A  |-  |LIC    |LINEVILLE                |AL |US |BLED   -20131114APT |0.1    kW |0.1    kW |79.8    |79.8    |173733     |N |33 |17 |54.60 |W |85  |41 |24.20 |B. JORDAN COMMUNICATIONS CORPORATION                                        |   0.00 km |   0.00 mi |  0.00 deg |370.9  m|370.9  m|-         |-       |-       |36.6   m|1594650   |
|WVAS        |90.7  MHz |FM |214 |ND  |-                   |C1 |-  |LIC    |MONTGOMERY               |AL |US |BLED   -19920401KA  |80.    kW |80.    kW |106.0   |106.0   |727        |N |32 |21 |58.00 |W |86  |17 |40.00 |ALABAMA STATE UNIVERSITY (ASU)                                              |   0.00 km |   0.00 mi |  0.00 deg |163.   m|163.0  m|-         |-       |-       |81.    m|172244    |
|WGRW        |90.7  MHz |FM |214 |DA  |-                   |A  |-  |LIC    |ANNISTON                 |AL |US |BLED   -19990603KZ  |0.     kW |3.     kW |0.0     |100.0   |79043      |N |33 |46 |41.00 |W |85  |56 |38.00 |WORD WORKS, INC.                                                            |   0.00 km |   0.00 mi |  0.00 deg |0.0    m|292.   m|15287     |0.      |-       |23.    m|285874    |
|NEW         |90.7  MHz |FM |214 |DA  |-                   |A  |-  |APP    |LIVINGSTON               |AL |US |BNPED  -20071017AFJ |2.5    kW |2.5    kW |100.1   |100.1   |172733     |N |32 |37 |34.00 |W |88  |12 |3.00  |GREENE / SUMTER ENTERPRISE COMMUNITY                                        |   0.00 km |   0.00 mi |  0.00 deg |152.2  m|152.2  m|81678     |0.      |1212955 |94.9   m|1205443   |
|WVUA-FM     |90.7  MHz |FM |214 |ND  |-                   |A  |-  |LIC    |TUSCALOOSA               |AL |US |BLED   -20101122AJA |0.     kW |0.22   kW |0.0     |56.0    |4242       |N |33 |12 |34.00 |W |87  |32 |56.00 |BOARD OF TRUSTEES, UNIVERSITY OF ALABAMA                                    |   0.00 km |   0.00 mi |  0.00 deg |0.0    m|133.   m|-         |-       |1036410 |62.    m|1407841   |
|WJAB        |90.9  MHz |FM |215 |ND  |-                   |C1 |-  |LIC    |HUNTSVILLE               |AL |US |BLED   -19910429KA  |100.   kW |100.   kW |102.0   |102.0   |697        |N |34 |47 |9.00  |W |86  |34 |0.00  |ALABAMA A & M UNIVERSITY                                                    |   0.00 km |   0.00 mi |  0.00 deg |339.   m|339.0  m|-         |-       |-       |59.    m|159714    |
|WOWB        |90.9  MHz |FM |215 |DA  |-                   |C1 |-  |LIC    |BREWTON                  |AL |US |BLED   -20060403ACX |100.   kW |100.   kW |153.0   |153.0   |40428      |N |31 |18 |13.00 |W |87  |2  |50.00 |AGAPE EDUCATIONAL MEDIA, INC.                                               |   0.00 km |   0.00 mi |  0.00 deg |227.   m|227.0  m|67347     |0.      |1035181 |142.   m|1124059   |
|WFAZ        |90.9  MHz |FM |215 |DA  |-                   |C3 |-  |LIC    |GOODWATER                |AL |US |BLED   -20110906AFE |6.9    kW |6.9    kW |136.0   |136.0   |159021     |N |33 |12 |30.00 |W |85  |59 |31.00 |FIRST ASSEMBLY OF GOD                                                       |   0.00 km |   0.00 mi |  0.00 deg |427.   m|427.0  m|105214    |0.      |1278941 |91.    m|1442914   |
|WJSR        |91.1  MHz |FM |216 |DA  |-                   |A  |-  |LIC    |BIRMINGHAM               |AL |US |BLED   -19840420DM  |0.23   kW |0.23   kW |59.0    |59.0    |30820      |N |33 |39 |7.00  |W |86  |42 |20.00 |JEFFERSON STATE COMMUNITY COLLEGE                                           |   0.00 km |   0.00 mi |  0.00 deg |274.   m|274.0  m|13570     |0.      |-       |18.    m|68974     |
|WEGL        |91.1  MHz |FM |216 |ND  |-                   |A  |-  |LIC    |AUBURN                   |AL |US |BMLED  -19920302KC  |3.     kW |3.     kW |65.0    |65.0    |6107       |N |32 |36 |11.00 |W |85  |29 |12.00 |BOARD OF TRUSTEES AUBURN UNIVERSITY                                         |   0.00 km |   0.00 mi |  0.00 deg |248.   m|248.0  m|-         |-       |-       |44.    m|171197    |
|WAXU        |91.1  MHz |FM |216 |ND  |-                   |A  |-  |LIC    |TROY                     |AL |US |BLED   -20010124AAC |1.089  kW |1.089  kW |75.0    |75.0    |85064      |N |31 |47 |22.00 |W |85  |58 |58.00 |AMERICAN FAMILY ASSOCIATION                                                 |   0.00 km |   0.00 mi |  0.00 deg |196.   m|196.0  m|-         |-       |-       |44.    m|549172    |
|WAQU        |91.1  MHz |FM |216 |ND  |-                   |C3 |-  |LIC    |SELMA                    |AL |US |BLED   -20030203ACK |21.5   kW |21.5   kW |102.0   |102.0   |78926      |N |32 |24 |17.00 |W |87  |25 |32.00 |AMERICAN FAMILY ASSOCIATION                                                 |   0.00 km |   0.00 mi |  0.00 deg |162.   m|162.0  m|-         |-       |1207584 |91.    m|625588    |
|WVSU-FM     |91.1  MHz |FM |216 |DA  |-                   |A  |-  |LIC    |BIRMINGHAM               |AL |US |BLED   -20040126AHK |0.     kW |0.5    kW |0.0     |126.0   |58757      |N |33 |27 |47.00 |W |86  |46 |8.00  |SAMFORD UNIVERSITY                                                          |   0.00 km |   0.00 mi |  0.00 deg |0.0    m|327.   m|37243     |0.      |-       |22.    m|989945    |
